period,year,checkpoint,area_key,province_cn,province_en,category,scraped_10kw,scraped_gw,source_page_url,source_file,dataset,reference_area,reference_gw
201909,2019.0,q3,,内蒙古*,,Total,990.0,9.9,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,新疆(含兵团),,Total,1071.0,10.71,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,贵州*,,Total,178.0,1.78,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,内蒙古*,,Utility-scale,958.0,9.58,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,新疆(含兵团),,Utility-scale,1061.0,10.61,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,贵州*,,Utility-scale,160.0,1.6,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,内蒙古*,,Total distributed,32.0,0.32,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,新疆(含兵团),,Total distributed,10.0,0.1,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201909,2019.0,q3,,贵州*,,Total distributed,18.0,0.18,https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019-11-05_2019年前三季度光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201906,2019.0,h1,,内蒙古*,,Total,978.0,9.78,https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201906,2019.0,h1,,新疆(含兵团),,Total,1066.0,10.66,https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201906,2019.0,h1,,贵州*,,Total,178.0,1.78,https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201906,2019.0,h1,,内蒙古*,,Utility-scale,956.0,9.56,https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201906,2019.0,h1,,新疆(含兵团),,Utility-scale,1061.0,10.61,https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
201906,2019.0,h1,,贵州*,,Utility-scale,160.0,1.6,https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019-08-23_2019年上半年光伏发电建设运行情况---国家能源局_clean.csv,scraped,,
