source_page_url,title,publish_date,year,checkpoint,unit,n_images,page_type
https://www.nea.gov.cn/20260305/4216fa1274bd4b7f8da92090ba3999aa/c.html,2025年光伏发电建设情况---国家能源局,2026-02-21,2025,annual,,1,image_table
https://www.nea.gov.cn/20251112/35126d06a151461882b61d0a2e5706a6/c.html,2025年前三季度光伏发电建设情况---国家能源局,2025-11-12,2025,q3,万千瓦,0,inline_html_table
https://www.nea.gov.cn/20250811/b32802d80ef04148b704e6bc1cd51eb2/c.html,2025年上半年光伏发电建设情况---国家能源局,2025-08-04,2025,h1,,1,image_table
https://www.nea.gov.cn/20250429/b78504d2e8a14b97bdcffb2c501b7393/c.html,2025年一季度光伏发电建设情况---国家能源局,2025-04-29,2025,q1,,1,image_table
https://www.nea.gov.cn/20250221/f04452701c914d51a89d0c0ea6f4acd1/c.html,2024年光伏发电建设情况---国家能源局,2025-01-27,2024,annual,,1,image_table
https://www.nea.gov.cn/2024-11/01/c_1310787081.htm,2024年前三季度光伏发电建设情况---国家能源局,2024-11-01,2024,q3,万千瓦,3,image_table
https://www.nea.gov.cn/2024-07/25/c_1310782757.htm,2024年上半年光伏发电建设情况---国家能源局,2024-07-25,2024,h1,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2024-05/06/c_1310773741.htm,2024年一季度光伏发电建设情况---国家能源局,2024-05-06,2024,q1,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2024-02/28/c_1310765696.htm,2023年光伏发电建设情况---国家能源局,2024-02-28,2023,annual,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2023-11/03/c_1310748819.htm,2023年前三季度光伏发电建设运行情况---国家能源局,2023-11-03,2023,q3,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2023-07/27/c_1310734298.htm,2023年上半年光伏发电建设运行情况---国家能源局,2023-07-27,2023,h1,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2023-05/05/c_1310716141.htm,2023年一季度光伏发电建设运行情况---国家能源局,2023-05-05,2023,q1,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2023-02/17/c_1310698128.htm,2022年光伏发电建设运行情况---国家能源局,2023-02-17,2022,annual,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2022-10/27/c_1310671519.htm,2022年前三季度光伏发电建设运行情况---国家能源局,2022-10-27,2022,q3,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2022-07/29/c_1310647830.htm,2022年上半年光伏发电建设运行情况---国家能源局,2022-07-29,2022,h1,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2022-04/27/c_1310576175.htm,2022年一季度光伏发电建设运行情况---国家能源局,2022-04-27,2022,q1,,1,image_table
https://www.nea.gov.cn/2022-03/09/c_1310508114.htm,2021年光伏发电建设运行情况---国家能源局,2022-03-09,2021,annual,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2021-10/25/c_1310267679.htm,2021年前三季度全国光伏发电建设运行情况---国家能源局,2021-10-25,2021,q3,,1,image_table
https://www.nea.gov.cn/2021-08/18/c_1310134718.htm,2021年上半年全国光伏发电建设运行情况---国家能源局,2021-08-18,2021,h1,万千瓦,0,inline_html_table
https://www.nea.gov.cn/2021-04/27/c_139910029.htm,2021年一季度全国光伏发电建设运行情况---国家能源局,2021-04-27,2021,q1,,0,inline_html_table
https://www.nea.gov.cn/2021-01/30/c_139708580.htm,国家能源局2021年一季度网上新闻发布会文字实录---国家能源局,2021-01-30,2021,q1,,0,inline_html_table
https://www.nea.gov.cn/2020-10/30/c_139478872.htm,国家能源局2020年四季度网上新闻发布会文字实录---国家能源局,2020-10-30,2020,annual,,0,inline_html_table
https://www.nea.gov.cn/2020-07/31/c_139254346.htm,2020年上半年光伏发电并网运行情况---国家能源局,2020-07-31,2020,h1,,0,inline_html_table
https://www.nea.gov.cn/2020-05/11/c_139047894.htm,2020年一季度光伏发电并网运行情况---国家能源局,2020-05-11,2020,q1,,0,inline_html_table
https://www.nea.gov.cn/2020-02/28/c_138827923.htm,2019年光伏发电并网运行情况---国家能源局,2020-02-28,2019,annual,,0,inline_html_table
https://www.nea.gov.cn/2019-11/05/c_138527620.htm,2019年前三季度光伏发电建设运行情况---国家能源局,2019-11-05,2019,q3,,0,inline_html_table
https://www.nea.gov.cn/2019-08/23/c_138330885.htm,2019年上半年光伏发电建设运行情况---国家能源局,2019-08-23,2019,h1,,1,image_table
https://www.nea.gov.cn/2019-06/06/c_138121866.htm,2019年一季度光伏发电建设运行情况---国家能源局,2019-06-06,2019,q1,,1,image_table
https://www.nea.gov.cn/2019-03/19/c_137907428.htm,2018年光伏发电统计信息---国家能源局,2019-03-19,2018,annual,,0,inline_html_table
https://www.nea.gov.cn/2018-11/19/c_137617256.htm,2018年前三季度光伏建设运行情况---国家能源局,2018-11-19,2018,q3,,0,inline_html_table
https://www.nea.gov.cn/2018-08/02/c_137363846.htm,2018年上半年光伏建设运行情况---国家能源局,2018-08-02,2018,h1,,0,inline_html_table
https://www.nea.gov.cn/2017-08/04/c_136499745.htm,2017年上半年光伏发电建设运行信息简况---国家能源局,2017-08-04,2017,h1,,1,image_table
https://www.nea.gov.cn/2017-05/04/c_136256598.htm,2017年第一季度光伏发电建设和运行信息简况---国家能源局,2017-05-04,2017,q1,,0,inline_html_table
https://www.nea.gov.cn/2017-02/04/c_136030860.htm,2016年光伏发电统计信息---国家能源局,2017-02-04,2016,annual,,0,inline_html_table
