,2025-12-31 00:00:00,Area,0
Hydro,-24.579999999999984,Brazil,
Bioenergy,-3.1200000000000045,Brazil,
Other Fossil,-1.0599999999999996,Brazil,
Nuclear,0.08999999999999986,Brazil,
Coal,0.9799999999999986,Brazil,
Gas,6.090000000000003,Brazil,
Wind,9.08999999999999,Brazil,
Solar,17.319999999999993,Brazil,
Gas,-12.61000000000007,Russia,
Hydro,-10.810000000000002,Russia,
Wind,-0.9299999999999997,Russia,
Solar,-0.08000000000000007,Russia,
Bioenergy,-0.05999999999999994,Russia,
Other Fossil,0.6799999999999997,Russia,
Nuclear,2.930000000000007,Russia,
Coal,4.350000000000023,Russia,
Solar,,,34.024466239999995
Wind,,,14.05109
Hydro,,,23.189609700000002
Other Non-fossil,,,1.8442070690000005
Coal,,,-35.856223894999985
Other Fossil,,,-4.219835099999999
Gas,,,-7.9189184
Nuclear,,,-1.0815634
Total,,,24.113928914000002
Area,,,India
Coal,-70.6200000000008,China,
Other Fossil,0.6700000000000017,China,
Bioenergy,4.719999999999999,China,
Gas,13.699999999999989,China,
Nuclear,37.329999999999984,China,
Hydro,45.0300000000002,China,
Wind,138.40999999999997,China,
Solar,335.89,China,
Coal,-9.650000000000006,South Africa,
Other Fossil,-0.009999999999999787,South Africa,
Gas,0.0,South Africa,
Wind,0.21999999999999886,South Africa,
Hydro,0.73,South Africa,
Solar,1.5399999999999991,South Africa,
Nuclear,2.410000000000001,South Africa,
