Parameter,State,2025-11
Coal - Generation (in MU),Andaman and Nicobar Islands,-
Oil & Gas - Generation (in MU),Andaman and Nicobar Islands,-
Hydro - Generation (in MU),Andaman and Nicobar Islands,-
Solar - Generation (in MU),Andaman and Nicobar Islands,-
Wind - Generation (in MU),Andaman and Nicobar Islands,-
Coal - Generation (in MU),Andhra Pradesh,5399.04
Oil & Gas - Generation (in MU),Andhra Pradesh,-
Hydro - Generation (in MU),Andhra Pradesh,452.71
Solar - Generation (in MU),Andhra Pradesh,673.01
Wind - Generation (in MU),Andhra Pradesh,233.8
Coal - Generation (in MU),Arunachal Pradesh,-
Oil & Gas - Generation (in MU),Arunachal Pradesh,-
Hydro - Generation (in MU),Arunachal Pradesh,285.92
Solar - Generation (in MU),Arunachal Pradesh,-
Wind - Generation (in MU),Arunachal Pradesh,-
Coal - Generation (in MU),Assam,359.74
Oil & Gas - Generation (in MU),Assam,238.21
Hydro - Generation (in MU),Assam,85.63
Solar - Generation (in MU),Assam,30
Wind - Generation (in MU),Assam,-
Total,Andaman and Nicobar Islands,0
Total,Andhra Pradesh,6758.56
Total,Arunachal Pradesh,285.92
Total,Assam,713.58
Coal - Generation (in MU),Bihar,4810.96
Hydro - Generation (in MU),Bihar,-
Solar - Generation (in MU),Bihar,30.36
Coal - Generation (in MU),Chandigarh,-
Hydro - Generation (in MU),Chandigarh,-
Solar - Generation (in MU),Chandigarh,-
Coal - Generation (in MU),Chhattisgarh,12791.53
Hydro - Generation (in MU),Chhattisgarh,4.11
Solar - Generation (in MU),Chhattisgarh,136.9
Coal - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,-
Hydro - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,-
Solar - Generation (in MU),Dadra and Nagar Haveli and Daman and Diu,-
Total,Bihar,4841.32
Total,Chandigarh,0
Total,Chhattisgarh,12932.54
Total,Dadra and Nagar Haveli and Daman and Diu,0
Coal - Generation (in MU),Delhi,-
Oil & Gas - Generation (in MU),Delhi,95.78
Nuclear - Generation (in MU),Delhi,-
Hydro - Generation (in MU),Delhi,-
Solar - Generation (in MU),Delhi,-
Wind - Generation (in MU),Delhi,-
Coal - Generation (in MU),Goa,-
Oil & Gas - Generation (in MU),Goa,-
Nuclear - Generation (in MU),Goa,-
Hydro - Generation (in MU),Goa,-
Solar - Generation (in MU),Goa,-
Wind - Generation (in MU),Goa,-
Coal - Generation (in MU),Haryana,1203.48
Oil & Gas - Generation (in MU),Haryana,13.73
Nuclear - Generation (in MU),Haryana,-
Hydro - Generation (in MU),Haryana,-
Solar - Generation (in MU),Haryana,27.27
Wind - Generation (in MU),Haryana,-
Coal - Generation (in MU),Gujarat,3454.36
Oil & Gas - Generation (in MU),Gujarat,198.38
Nuclear - Generation (in MU),Gujarat,1247.54
Hydro - Generation (in MU),Gujarat,419.74
Solar - Generation (in MU),Gujarat,2797.09
Wind - Generation (in MU),Gujarat,1476.95
Total,Delhi,95.78
Total,Goa,0
Total,Haryana,1244.48
Total,Gujarat,9594.06
Coal - Generation (in MU),Himachal Pradesh,-
Nuclear - Generation (in MU),Himachal Pradesh,-
Hydro - Generation (in MU),Himachal Pradesh,1903.51
Solar - Generation (in MU),Himachal Pradesh,9.15
Wind - Generation (in MU),Himachal Pradesh,-
Coal - Generation (in MU),Jammu and Kashmir,-
Nuclear - Generation (in MU),Jammu and Kashmir,-
Hydro - Generation (in MU),Jammu and Kashmir,619.58
Solar - Generation (in MU),Jammu and Kashmir,-
Wind - Generation (in MU),Jammu and Kashmir,-
Coal - Generation (in MU),Jharkhand,3465.4
Nuclear - Generation (in MU),Jharkhand,-
Hydro - Generation (in MU),Jharkhand,8.05
Solar - Generation (in MU),Jharkhand,-
Wind - Generation (in MU),Jharkhand,-
Coal - Generation (in MU),Karnataka,3707.65
Nuclear - Generation (in MU),Karnataka,502.71
Hydro - Generation (in MU),Karnataka,1182.56
Solar - Generation (in MU),Karnataka,1332.9
Wind - Generation (in MU),Karnataka,671.41
Total,Himachal Pradesh,1912.66
Total,Jammu and Kashmir,619.58
Total,Jharkhand,3473.45
Total,Karnataka,7397.23
Coal - Generation (in MU),Kerala,-
Hydro - Generation (in MU),Kerala,580.51
Solar - Generation (in MU),Kerala,41.81
Wind - Generation (in MU),Kerala,5.23
Coal - Generation (in MU),Lakshadweep,-
Hydro - Generation (in MU),Lakshadweep,-
Solar - Generation (in MU),Lakshadweep,-
Wind - Generation (in MU),Lakshadweep,-
Coal - Generation (in MU),Ladakh,-
Hydro - Generation (in MU),Ladakh,28.39
Solar - Generation (in MU),Ladakh,-
Wind - Generation (in MU),Ladakh,-
Coal - Generation (in MU),Madhya Pradesh,11322.05
Hydro - Generation (in MU),Madhya Pradesh,451.11
Solar - Generation (in MU),Madhya Pradesh,571.92
Wind - Generation (in MU),Madhya Pradesh,218.1
Total,Kerala,627.55
Total,Lakshadweep,0
Total,Ladakh,28.39
Total,Madhya Pradesh,12563.18
Coal - Generation (in MU),Maharashtra,9935.26
Oil & Gas - Generation (in MU),Maharashtra,489.85
Nuclear - Generation (in MU),Maharashtra,367.31
Hydro - Generation (in MU),Maharashtra,290.49
Solar - Generation (in MU),Maharashtra,816.41
Wind - Generation (in MU),Maharashtra,391.54
Coal - Generation (in MU),Manipur,-
Oil & Gas - Generation (in MU),Manipur,-
Nuclear - Generation (in MU),Manipur,-
Hydro - Generation (in MU),Manipur,74.58
Solar - Generation (in MU),Manipur,-
Wind - Generation (in MU),Manipur,-
Coal - Generation (in MU),Meghalaya,-
Oil & Gas - Generation (in MU),Meghalaya,-
Nuclear - Generation (in MU),Meghalaya,-
Hydro - Generation (in MU),Meghalaya,31.82
Solar - Generation (in MU),Meghalaya,-
Wind - Generation (in MU),Meghalaya,-
Coal - Generation (in MU),Mizoram,-
Oil & Gas - Generation (in MU),Mizoram,-
Nuclear - Generation (in MU),Mizoram,-
Hydro - Generation (in MU),Mizoram,34.07
Solar - Generation (in MU),Mizoram,1.89
Wind - Generation (in MU),Mizoram,-
Total,Maharashtra,12290.86
Total,Manipur,74.58
Total,Meghalaya,31.82
Total,Mizoram,35.96
Coal - Generation (in MU),Nagaland,-
Oil & Gas - Generation (in MU),Nagaland,-
Hydro - Generation (in MU),Nagaland,8.55
Solar - Generation (in MU),Nagaland,-
Coal - Generation (in MU),Odisha,6026.13
Oil & Gas - Generation (in MU),Odisha,-
Hydro - Generation (in MU),Odisha,449.89
Solar - Generation (in MU),Odisha,57.1
Coal - Generation (in MU),Punjab,2288.04
Oil & Gas - Generation (in MU),Punjab,-
Hydro - Generation (in MU),Punjab,268.41
Solar - Generation (in MU),Punjab,112.12
Coal - Generation (in MU),Puducherry,-
Oil & Gas - Generation (in MU),Puducherry,17.66
Hydro - Generation (in MU),Puducherry,-
Solar - Generation (in MU),Puducherry,1.51
Total,Nagaland,8.55
Total,Odisha,6533.12
Total,Punjab,2668.57
Total,Puducherry,19.17
Coal - Generation (in MU),Rajasthan,4775.19
Oil & Gas - Generation (in MU),Rajasthan,71.21
Nuclear - Generation (in MU),Rajasthan,718.94
Hydro - Generation (in MU),Rajasthan,104.48
Solar - Generation (in MU),Rajasthan,4711.72
Wind - Generation (in MU),Rajasthan,358.41
Coal - Generation (in MU),Sikkim,-
Oil & Gas - Generation (in MU),Sikkim,-
Nuclear - Generation (in MU),Sikkim,-
Hydro - Generation (in MU),Sikkim,167.07
Solar - Generation (in MU),Sikkim,-
Wind - Generation (in MU),Sikkim,-
Coal - Generation (in MU),Tamil Nadu,5168.04
Oil & Gas - Generation (in MU),Tamil Nadu,117.36
Nuclear - Generation (in MU),Tamil Nadu,764.78
Hydro - Generation (in MU),Tamil Nadu,565.26
Solar - Generation (in MU),Tamil Nadu,984.9
Wind - Generation (in MU),Tamil Nadu,781.24
Coal - Generation (in MU),Telangana,3596.03
Oil & Gas - Generation (in MU),Telangana,-
Nuclear - Generation (in MU),Telangana,-
Hydro - Generation (in MU),Telangana,605.3
Solar - Generation (in MU),Telangana,550.75
Wind - Generation (in MU),Telangana,15.93
Total,Rajasthan,10739.95
Total,Sikkim,167.07
Total,Tamil Nadu,8381.58
Total,Telangana,4768.01
Coal - Generation (in MU),Tripura,-
Oil & Gas - Generation (in MU),Tripura,408.22
Nuclear - Generation (in MU),Tripura,-
Hydro - Generation (in MU),Tripura,-
Solar - Generation (in MU),Tripura,0.29
Coal - Generation (in MU),Uttarakhand,-
Oil & Gas - Generation (in MU),Uttarakhand,-
Nuclear - Generation (in MU),Uttarakhand,-
Hydro - Generation (in MU),Uttarakhand,912.74
Solar - Generation (in MU),Uttarakhand,15.82
Coal - Generation (in MU),Uttar Pradesh,11488.96
Oil & Gas - Generation (in MU),Uttar Pradesh,41.73
Nuclear - Generation (in MU),Uttar Pradesh,246.83
Hydro - Generation (in MU),Uttar Pradesh,47.05
Solar - Generation (in MU),Uttar Pradesh,402.3
Coal - Generation (in MU),West Bengal,6237.12
Oil & Gas - Generation (in MU),West Bengal,-
Nuclear - Generation (in MU),West Bengal,-
Hydro - Generation (in MU),West Bengal,212.45
Solar - Generation (in MU),West Bengal,-
Total,Tripura,408.51
Total,Uttarakhand,928.56
Total,Uttar Pradesh,12226.87
Total,West Bengal,6449.57
