,State,datetime,day gen,diff
48,Gujarat,2025-12-31,68367.58,-14012.660000000003
129,Tamil Nadu,2025-12-31,63561.69,-11517.009999999995
120,Rajasthan,2025-12-31,58562.31,-5664.32
57,Haryana,2025-12-31,26020.54,-4096.689999999999
84,Madhya Pradesh,2025-12-31,142353.97,-3978.7999999999884
156,West Bengal,2025-12-31,90762.36,-3018.3899999999994
26,Bihar,2025-12-31,58450.31,-2091.8899999999994
93,Maharashtra,2025-12-31,130653.12,-1439.8999999999942
111,Punjab,2025-12-31,32496.01,-1373.5099999999984
75,Karnataka,2025-12-31,42550.72,-1250.0800000000017
138,Telangana,2025-12-31,56336.88,-730.760000000002
66,Jharkhand,2025-12-31,38520.7,-417.6600000000035
17,Assam,2025-12-31,4423.68,-382.3599999999997
102,Odisha,2025-12-31,68334.15,548.6499999999942
35,Chhatisgarh,2025-12-31,166440.1,1939.9200000000128
8,Andhra Pradesh,2025-12-31,73491.81,2141.3499999999913
147,Uttar Pradesh,2025-12-31,161655.78,3060.2999999999884
