,value,value,value,value,value
0,14.211999999999998,3.8760000000000003,10.3275,29.89,1.12
1,26.6985,9.2735,17.4165,38.44,0.67
2,25.551,9.265,16.286,45.16,1.76
3,32.7675,19.703,13.064499999999999,30.77,2.15
4,37.4085,22.9755,14.433,48.27,1.33
5,47.3535,31.263,16.0905,62.58,3.01
6,70.4225,52.68299999999999,17.7395,49.57,2.5700000000000003
7,92.17399999999999,59.2195,32.9545,43.89,3.74
8,92.089,54.3405,37.74849999999999,45.18,4.48
9,104.329,64.6935,39.626999999999995,53.39,5.64
10,127.3555,71.468,55.887499999999996,102.06,6.13
11,140.8025,75.4715,65.331,72.88,19.93
12,189.0145,92.05499999999999,96.95949999999999,65.81,10.33
13,360.0005,200.4385,159.56199999999998,105.41,9.16
14,457.01949999999994,275.67199999999997,181.3475,105.88,9.22
15,558.6625,305.7195,252.94299999999998,139.0,15.66
