scenario,year,model_technology,date_known,mean_mw,p10_mw,p50_mw,p90_mw
central,2026,hydropower,known,2091.814,333.6,1833.5,4049.2000000000003
central,2026,hydropower,unknown,0.0,0.0,0.0,0.0
central,2026,offshore wind,known,7742.279,5963.7,7737.0,9482.6
central,2026,offshore wind,unknown,4056.955,2107.7,3878.0,6232.1
central,2026,onshore wind,known,56278.8511,52272.65,56225.350000000006,60483.01
central,2026,onshore wind,unknown,71277.9683,64021.59,70394.75,79993.55
central,2026,utility-scale solar,known,112596.4443,108546.37999999999,112566.15000000001,116642.93000000001
central,2026,utility-scale solar,unknown,164832.6236,155637.94,164829.9,173934.57
central,2027,hydropower,known,12657.759,9091.9,12668.0,16133.3
central,2027,hydropower,unknown,799.812,45.900000000000006,525.0,2102.9
central,2027,offshore wind,known,10495.127,7346.1,10417.0,13584.5
central,2027,offshore wind,unknown,19432.8395,16616.2,19617.25,22194.05
central,2027,onshore wind,known,56185.6556,50018.77999999999,55974.05,62388.11
central,2027,onshore wind,unknown,106361.97570000001,96116.87,106575.54999999999,115587.89
central,2027,utility-scale solar,known,130954.1316,122167.43000000001,131148.8,139198.40000000002
central,2027,utility-scale solar,unknown,270361.798,255176.40000000002,270046.10000000003,285277.72000000003
central,2028,hydropower,known,13103.347,9230.9,12991.5,17133.5
central,2028,hydropower,unknown,5117.524,2894.9,5028.5,7449.900000000001
central,2028,offshore wind,known,11217.6655,7164.5,11202.5,15291.2
central,2028,offshore wind,unknown,7001.8195,4194.35,6721.75,9966.7
central,2028,onshore wind,known,50559.5093,43365.72,50304.399999999994,58317.759999999995
central,2028,onshore wind,unknown,80785.2677,71486.93,80172.95000000001,90449.71
central,2028,utility-scale solar,known,108617.50140000001,99679.01999999999,108607.2,118159.16
central,2028,utility-scale solar,unknown,437221.17189999996,416326.79000000004,436753.65,458539.10000000003
central,2029,hydropower,known,12783.871,8063.2,12770.0,17519.8
central,2029,hydropower,unknown,7270.769,4367.0,7049.5,10344.2
central,2029,offshore wind,known,16542.585,11510.8,16320.0,21841.05
central,2029,offshore wind,unknown,16639.8444,10917.6,15962.6,23670.99
central,2029,onshore wind,known,46884.3082,36818.280000000006,46529.45,56687.86
central,2029,onshore wind,unknown,164058.11609999998,150833.56999999998,163630.6,177672.09999999998
central,2029,utility-scale solar,known,65418.423,53274.37,64680.149999999994,78680.58
central,2029,utility-scale solar,unknown,261309.38940000001,239699.91000000003,260243.6,284541.79
central,2030,hydropower,known,13819.654,9274.9,13491.0,18672.600000000002
central,2030,hydropower,unknown,8605.656,4611.4,8030.0,13196.7
central,2030,offshore wind,known,23857.0145,17569.5,23714.75,30229.1
central,2030,offshore wind,unknown,44174.989700000006,34271.46,43818.2,55425.19
central,2030,onshore wind,known,39642.941399999996,28864.06,39474.5,51065.18
central,2030,onshore wind,unknown,164052.3836,147236.17,162300.75,182459.78999999998
central,2030,utility-scale solar,known,38789.2293,27747.05,38066.4,50760.39
central,2030,utility-scale solar,unknown,146812.8185,125326.18,144624.95,173191.98
