,Utility-scale solar,Onshore wind,Offshore wind,Hydro
2010,3.8760000000000003,29.89,1.12,33.48
2011,9.2735,38.44,0.67,30.87
2012,9.265,45.16,1.76,33.44
2013,19.703,30.77,2.15,46.83
2014,22.9755,48.27,1.33,39.96
2015,31.263,62.58,3.01,37.12
2016,52.68299999999999,49.57,2.5700000000000003,33.52
2017,59.2195,43.89,3.74,23.18
2018,54.3405,45.18,4.48,24.0
2019,64.6935,53.39,5.64,18.72
2020,71.468,102.06,6.13,22.79
2021,75.4715,72.88,19.93,28.42
2022,92.05499999999999,65.81,10.33,30.94
2023,200.4385,105.41,9.16,12.71
2024,275.67199999999997,105.88,9.22,24.67
2025,305.7195,139.0,15.66,24.32
