,Status,2026.0,2027.0,2028.0,2029.0,2030.0
Utility-scale solar,announced,29.0215,36.251,49.2071,8.6744,57.5769
Utility-scale solar,construction,92.8415,44.773199999999996,16.4355,2.848,6.254
Utility-scale solar,pre-construction,78.20339999999999,89.0867,44.3987,20.8931,5.4396
Onshore wind,announced,18.571900000000003,19.9324,14.7086,10.744399999999999,29.0671
Onshore wind,construction,60.2751,15.9594,6.7283,3.2438000000000002,1.3032000000000001
Onshore wind,pre-construction,58.996,36.041199999999996,41.5553,30.3179,18.162599999999998
Offshore wind,announced,5.047,2.245,8.172,2.34,23.335
Offshore wind,construction,10.914,5.828,,,0.2
Offshore wind,pre-construction,6.447,19.891,27.1895,31.433,52.926
Hydro,announced,1.13,1.361,3.129,1.531,4.143
Hydro,construction,20.005,11.634,6.999,7.641,3.045
Hydro,pre-construction,2.025,5.838,11.015,8.271,8.605
