scenario,model_technology,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,hydropower,80443.15,61135.9,67670.5,75303.0,88193.0,104133.3
central,offshore wind,184272.10030000002,103543.4,122605.02500000001,158919.15000000002,215991.125,290391.51
central,onshore wind,841300.3092,717311.63,770500.2,834719.1,904727.5,977032.11
central,utility-scale solar,1754783.1955,1657696.2,1702447.7999999998,1751072.9,1808471.625,1860235.1700000002
high,hydropower,151248.524,107447.5,125015.0,146777.5,175529.5,200498.90000000002
high,offshore wind,429664.97130000003,283793.74000000005,340000.35000000003,417880.2,505568.45,596225.4500000001
high,onshore wind,1172796.1963,1090041.03,1132170.55,1174313.05,1216326.675,1252115.64
high,utility-scale solar,2023799.6952,1979513.31,2003406.15,2025621.7,2046373.525,2065210.51
low,hydropower,52603.898,40663.8,45339.5,51983.5,58559.5,65310.8
low,offshore wind,90504.826,65301.9,72460.875,82738.5,98209.25,119417.75000000001
low,onshore wind,532761.9839,445726.69,480239.64999999997,522658.94999999995,576852.25,627280.16
low,utility-scale solar,1411471.1631,1293019.91,1348623.95,1412239.15,1472518.2000000002,1531705.3099999998
