scenario,year,model_technology,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,2026,hydropower,2377.583,310.9,811.75,2049.0,3410.0,4943.000000000001
central,2026,offshore wind,12967.509,7240.3,9521.25,11957.25,15487.75,19766.050000000003
central,2026,onshore wind,130132.58959999999,102161.39,113681.0,127348.4,144064.65,160788.74
central,2026,utility-scale solar,280342.2098,237899.79,254988.85,278148.4,302484.4,325385.33
central,2027,hydropower,13827.818,8651.9,10826.25,13481.0,16336.25,19386.7
central,2027,offshore wind,28954.674899999998,22619.2,25678.375,29034.25,31839.25,34246.0
central,2027,onshore wind,162437.3624,150386.31,155899.875,162664.94999999998,168715.84999999998,173898.41
central,2027,utility-scale solar,421754.21989999997,363565.57,384021.42500000005,409999.5,448380.175,496030.05
central,2028,hydropower,18532.353,12614.1,15000.75,18074.5,21343.25,24906.0
central,2028,offshore wind,24418.317199999998,14985.300000000001,17352.5,20484.5,24390.0,31756.570000000003
central,2028,onshore wind,140493.141,99238.67,112482.425,129597.5,159111.15000000002,196824.30000000002
central,2028,utility-scale solar,537037.9846,481288.58999999997,515267.025,542849.1,565141.5249999999,580764.53
central,2029,hydropower,21040.797,14054.2,16698.25,20380.0,24077.5,28178.2
central,2029,offshore wind,43999.747200000005,16340.550000000001,21569.0,32085.25,54934.475,86753.1
central,2029,onshore wind,209591.8659,157205.25,180732.025,209803.45,238886.97499999998,260650.30000000002
central,2029,utility-scale solar,332199.66730000003,287429.19,306345.375,333711.25,355799.15,377497.53
central,2030,hydropower,24664.599,15735.4,18511.0,22503.5,28518.25,35909.9
central,2030,offshore wind,73931.852,32309.89,45510.149999999994,66727.3,96195.09999999999,128742.02
central,2030,onshore wind,198645.35030000002,174754.44,186100.15,198112.75,210334.9,223602.50999999998
central,2030,utility-scale solar,183449.1139,154785.37,166795.94999999998,182816.95,199210.025,214355.13999999998
high,2026,hydropower,5913.979,2118.7000000000003,3647.25,5549.0,7660.5,10071.1
high,2026,offshore wind,26584.2945,17800.95,21271.5,25900.25,31400.25,36638.3
high,2026,onshore wind,225092.328,198065.42,211248.65,225124.05,239085.35,251825.76000000004
high,2026,utility-scale solar,461708.5318,411014.31,431713.075,456717.1,485965.125,517916.62
high,2027,hydropower,23792.895,16966.2,19865.5,23258.0,27042.25,30769.8
high,2027,offshore wind,35790.5731,26562.55,29009.5,31979.85,35785.75,43695.29
high,2027,onshore wind,212728.4526,166235.96000000002,180516.05,202028.7,232286.35,269377.97
high,2027,utility-scale solar,789947.4713,697597.2000000001,742521.5499999999,795903.3,840260.875,879692.86
high,2028,hydropower,29838.031,20930.7,23745.25,27403.0,32810.5,40752.200000000004
high,2028,offshore wind,79823.4528,28326.100000000002,40873.825,66339.55,103989.5,151517.48
high,2028,onshore wind,337187.73110000003,284629.77999999997,314602.925,341389.5,367163.675,382599.81000000006
high,2028,utility-scale solar,463720.32560000004,411972.33,434749.75,461961.25,492987.9,517978.48
high,2029,hydropower,42378.427,24360.6,30359.5,39048.5,52213.75,65893.2
high,2029,offshore wind,138810.29,79457.56,107160.525,139191.3,171918.35,198518.79
high,2029,onshore wind,253386.7296,215239.05,235056.72499999998,254339.3,272173.5,290238.25
high,2029,utility-scale solar,227747.7672,177950.19999999998,203730.025,231435.45,255869.59999999998,272856.80999999994
high,2030,hydropower,49325.192,33719.4,41585.0,49174.0,57536.25,64880.700000000004
high,2030,offshore wind,148656.3609,116063.90999999999,133929.425,151685.65000000002,166665.35,178095.58000000002
high,2030,onshore wind,144400.955,103915.78,123368.35,144076.5,165278.4,185363.6
high,2030,utility-scale solar,80675.5993,46605.68,57815.9,76446.05,97280.925,120780.1
low,2026,hydropower,1091.793,0.0,120.0,500.0,1828.75,3000.0
low,2026,offshore wind,6605.175,3309.2000000000003,4615.25,6150.0,8003.125,10573.75
low,2026,onshore wind,72144.9608,57030.45,62884.625,70699.29999999999,79503.125,89401.22000000002
low,2026,utility-scale solar,161245.1865,132426.1,144136.0,158461.7,175699.65,193171.92
low,2027,hydropower,7890.316,3625.9,5269.25,7596.0,10203.0,12384.2
low,2027,offshore wind,19911.8225,13203.5,16074.0,19468.5,23209.875,27196.55
low,2027,onshore wind,147722.4062,128692.47,138351.7,148706.7,157414.475,165287.38
low,2027,utility-scale solar,311002.9078,287091.97000000003,296938.65,310376.1,323798.3,335033.92000000004
low,2028,hydropower,12394.607,7421.6,9634.5,12040.5,15145.5,17836.2
low,2028,offshore wind,20427.2142,15569.45,17977.375,20223.5,22813.625,25166.35
low,2028,onshore wind,93242.5518,80771.42,86151.5,92682.95,99665.5,106004.6
low,2028,utility-scale solar,319349.2832,265740.88,284845.425,311591.1,345488.075,383386.86
low,2029,hydropower,14687.029,9334.6,11549.75,14512.0,17653.0,20154.5
low,2029,offshore wind,17179.3603,10950.55,13019.125,15604.25,19059.875,23219.55
low,2029,onshore wind,91867.3278,63533.78,73673.225,86450.1,105155.65,124800.34
low,2029,utility-scale solar,359501.4343,314279.14,338367.5,361691.9,384471.775,400370.91
low,2030,hydropower,16540.153,10899.2,13339.75,16261.5,19401.75,22680.5
low,2030,offshore wind,26381.254,12174.36,15547.5,20916.0,30036.125,46416.07
low,2030,onshore wind,127784.7373,89731.2,104991.925,125782.95000000001,149089.85,168341.45
low,2030,utility-scale solar,260372.3513,220472.86,244150.25,262832.35,280409.225,294433.58
