scenario,year,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
central,2026,425819.89139999996,352038.98,379434.35000000003,420268.05,463848.25,509789.24
central,2027,626974.0752000001,561560.8200000001,586529.4750000001,616055.5,655388.025,698937.02
central,2028,720481.7958,622034.27,664719.175,714103.1,769120.725,824358.2999999999
central,2029,606832.0774,552743.99,572722.6000000001,597825.0,630600.425,672962.12
central,2030,480690.9152,425178.8,448517.275,479227.6,509936.425,537545.84
high,2026,719299.1333,632934.7799999999,669762.4,713378.9,763525.35,813322.23
high,2027,1062259.392,917474.35,973349.7,1051219.5,1131354.475,1223502.21
high,2028,910569.5405,835712.8300000001,864090.3500000001,898505.15,946673.925,1000366.22
high,2029,662323.2137999999,610854.67,636050.225,662261.25,691094.225,713424.03
high,2030,423058.10719999997,373772.39999999997,399231.675,425099.94999999995,452757.2,472790.35000000003
low,2026,241087.1153,196915.79,213283.0,236152.65,263991.0,292697.23000000004
low,2027,486527.4525,438363.67,461274.125,487092.80000000005,512026.025,533349.28
low,2028,445413.65619999997,389728.48000000004,411288.525,437570.94999999995,470002.275,510092.15
low,2029,483235.1514,407976.06,440012.05000000005,481280.15,524182.54999999993,562579.36
low,2030,431078.4956,391726.51000000007,409381.25,427705.95,449471.175,473353.0
